PRODUTO,UF,PREÇO SANTA CRUZ
3282770207187,RS,"77,31"
3282770207187,SC,"63,62"
3282770207187,SP,"68,45"
3282770207217,BA,"68,46"
3282770207217,DF,"77,26"
3282770207217,GO,"70,87"
3282770207217,MG,"73,01"
3282770207217,PI,"105,84"
3282770207217,PR,"70,86"
3282770207217,RJ,"62,58"
3282770207217,RS,"77,31"
3282770207217,SC,"63,62"
3282770207217,SP,"68,45"
3282770207217,TO,"79,32"
3282770207651,BA,"58,2"
3282770207651,CE,"73,14"
3282770207651,DF,"65,66"
3282770207651,GO,"60,24"
3282770207651,MG,"65,69"
3282770207651,PI,"75,04"
3282770207651,PR,"60,24"
3282770207651,RJ,"53,2"
3282770207651,RS,"65,71"
3282770207651,SC,"54,09"
3282770207651,SP,"57,04"
3282770207651,TO,"67,41"
3282770207675,BA,"58,2"
3282770207675,DF,"65,66"
3282770207675,MG,"65,69"
3282770207675,PR,"60,24"
3282770207675,RJ,"53,2"
3282770207675,RS,"65,71"
3282770207675,SC,"54,09"
3282770207675,SP,"57,04"
3282770207699,BA,"58,2"
3282770207699,DF,"65,66"
3282770207699,GO,"60,24"
3282770207699,MG,"65,69"
3282770207699,MS,"64,97"
3282770207699,PI,"75,04"
3282770207699,PR,"60,24"
3282770207699,RJ,"53,2"
3282770207699,RS,"65,71"
3282770207699,SC,"54,09"
3282770207699,SP,"57,04"
3282770207699,TO,"67,41"
3282770207828,DF,"95,59"
3282770207828,GO,"83,22"
3282770207828,MG,"100,89"
3282770207828,PR,"82,16"
3282770207828,SC,"81,33"
3282770207828,SP,"97,47"
3282770208214,PR,"204,65"
3282770208214,SC,"217,72"
3282770208245,MG,"225,29"
3282770208245,PR,"220,41"
3282770208245,RJ,"179,49"
3282770208245,SC,"231,7"
3282770388466,DF,"64,31"
3282770388466,GO,"58,75"
3282770388466,MG,"63,85"
3282770388466,PI,"66,98"
3282770388466,PR,"61,88"
3282770388466,RJ,"56,44"
3282770388466,SC,"56,7"
3282770388466,SP,"58,35"
