PRODUTO,UF,CONCORRENTE,PREÇO CONCORRENTE,HORA COLETA
7898040329471,DF,B,"86,47",11/03/99 05:21:35
7896637032568,DF,B,"116,6",11/03/99 05:21:43
7891058002343,DF,B,"77,49",11/03/99 05:21:52
7898040328733,DF,B,"78,42",11/03/99 05:22:05
7896658025129,DF,B,"63,37",11/03/99 05:22:13
7896658035913,DF,B,"67,29",11/03/99 05:22:27
7896226109572,DF,B,"126,14",11/03/99 05:22:35
7896226105208,DF,B,"109,57",11/03/99 05:22:44
7891106914277,DF,B,"33,3",11/03/99 05:22:52
4005808850617,DF,B,"14,72",11/03/99 05:23:01
7896637031844,DF,B,"216,52",11/03/99 05:23:14
7891106912662,DF,B,"41,24",11/03/99 05:23:23
7896658033575,DF,B,"177,32",11/03/99 05:23:31
7896009498183,DF,B,"138,13",11/03/99 05:23:39
7897129304484,DF,B,"144,35",11/03/99 05:23:48
7891024033425,DF,B,"28,88",11/03/99 05:23:56
7891142205544,DF,B,"69,95",11/03/99 05:24:05
7898430191244,DF,B,"96,73",11/03/99 05:24:13
7896658036392,DF,B,"119,31",11/03/99 05:24:22
7896009498671,DF,B,"130,85",11/03/99 05:24:35
7896637030861,DF,B,"101,21",11/03/99 05:24:44
7896009498657,DF,B,"58,83",11/03/99 05:24:52
7898029550063,DF,B,"81,75",11/03/99 05:25:00
7898636192489,DF,B,"36,81",11/03/99 05:25:09
7891106908870,DF,B,"30,56",11/03/99 05:25:17
7896009498213,DF,B,"138,13",11/03/99 05:25:26
7500435185028,DF,B,"103,47",11/03/99 05:25:34
7896004755519,DF,B,"59,96",11/03/99 05:25:43
7897129301759,DF,B,"75,89",11/03/99 05:25:56
7896094920255,DF,B,"169,55",11/03/99 05:26:04
7891317019303,DF,B,"78,76",11/03/99 05:26:13
7891010882983,DF,B,"58,96",11/03/99 05:26:26
7891317011345,DF,B,"128,88",11/03/99 05:26:35
7896112400448,DF,B,"132,84",11/03/99 05:26:43
7908134200125,DF,B,"120,11",11/03/99 05:26:51
7896094919709,DF,B,"8,35",11/03/99 05:27:00
7891142204370,DF,B,"73,47",11/03/99 05:27:08
7896015526252,DF,B,"25,47",11/03/99 05:27:22
7896009498640,DF,B,"115,36",11/03/99 05:27:35
7891142204745,DF,B,"82,14",11/03/99 05:27:44
7891137003407,DF,B,"129,69",11/03/99 05:27:57
7908615030159,DF,B,"83,29",11/03/99 05:28:05
7899420507656,DF,B,"73,57",11/03/99 05:28:14
7896658000089,DF,B,"62,97",11/03/99 05:28:36
7891142981196,DF,B,"138,34",11/03/99 05:28:44
7895858017408,DF,B,"151,78",11/03/99 05:28:52
7896676434033,DF,B,"39,13",11/03/99 05:29:06
7896641810510,DF,B,"49,54",11/03/99 05:29:19
7899420507649,DF,B,"53,14",11/03/99 05:29:33
7898040329174,DF,B,"321,67",11/03/99 05:29:46
7898040328566,DF,B,"70,67",11/03/99 05:30:00
7898582381937,DF,B,"174,98",11/03/99 05:30:08
7896658030451,DF,B,"54,56",11/03/99 05:30:17
7898949409762,DF,B,"36,28",11/03/99 05:30:25
7894916513104,DF,B,"76,61",11/03/99 05:30:34
7896094919693,DF,B,"8,35",11/03/99 05:30:42
7894916514415,DF,B,"90,2",11/03/99 05:30:51
7899706155021,DF,B,"69,84",11/03/99 05:30:59
7898430191718,DF,B,"52,75",11/03/99 05:31:07
7896637032223,DF,B,"77,19",11/03/99 05:31:16
7896094916203,DF,B,"74,46",11/03/99 05:31:24
7891158105203,DF,B,"160,73",11/03/99 05:31:33
7899420508530,DF,B,"143,48",11/03/99 05:31:41
7896658029806,DF,B,"47,65",11/03/99 05:31:49
3662042000249,DF,B,"116,37",11/03/99 05:32:06
7896658027208,DF,B,"47,6",11/03/99 05:32:15
7898430194689,DF,B,"32,77",11/03/99 05:32:23
7896658033278,DF,B,"152,73",11/03/99 05:32:31
7898949409847,DF,B,"44,32",11/03/99 05:32:44
7891142206039,DF,B,"66,73",11/03/99 05:32:53
7891137006439,DF,B,"73,66",11/03/99 05:33:01
7891317022532,DF,B,"114,19",11/03/99 05:33:10
7897930775794,DF,B,"102,66",11/03/99 05:33:18
7899706186698,DF,B,"61,67",11/03/99 05:33:26
7896658027819,DF,B,"108,26",11/03/99 05:33:40
7898040325374,DF,B,"132,23",11/03/99 05:33:48
7896006219002,DF,B,"127,58",11/03/99 05:33:56
7898430191206,DF,B,"101,2",11/03/99 05:34:05
7898414851966,DF,B,"56,6",11/03/99 05:34:13
7891142204882,DF,B,"75,03",11/03/99 05:34:22
7898430194467,DF,B,"46,86",11/03/99 05:34:30
7896094921498,DF,B,"215,81",11/03/99 05:34:38
7896015525804,DF,B,"70,58",11/03/99 05:34:51
7896112402602,DF,B,"296,78",11/03/99 05:35:00
8429420079717,DF,B,"107,56",11/03/99 05:35:08
300651361070,DF,B,"69,13",11/03/99 05:35:21
4005900980397,DF,B,"38,77",11/03/99 05:35:30
7898040322786,DF,B,"123,96",11/03/99 05:35:43
7899706178341,DF,B,"73,43",11/03/99 05:35:56
7891142204257,DF,B,"187,81",11/03/99 05:36:05
7898074613010,DF,B,"131,37",11/03/99 05:36:18
7898948648476,DF,B,"131,54",11/03/99 05:36:27
7898636190515,DF,B,"32,39",11/03/99 05:36:40
7898040324551,DF,B,"124,16",11/03/99 05:36:48
7896009498312,DF,B,"43,45",11/03/99 05:36:57
3282770148817,DF,B,"77,7",11/03/99 05:37:05
5701943100349,DF,B,"96,51",11/03/99 05:37:13
7896226109558,DF,B,"117,27",11/03/99 05:37:22
7896004762098,DF,B,"21,5",11/03/99 05:37:35
7898414852420,DF,B,"49,78",11/03/99 05:37:43
7898040329082,DF,B,"128,28",11/03/99 05:37:52
7891317023232,DF,B,"175,66",11/03/99 05:38:00
7891142204196,DF,B,"187,81",11/03/99 05:38:09
7506339305159,DF,B,"114,63",11/03/99 05:38:22
7891317010898,DF,B,"300,06",11/03/99 05:38:30
7896094927261,DF,B,"234,52",11/03/99 05:38:44
7898430191008,DF,B,"52,91",11/03/99 05:38:52
7896006216827,DF,B,"145,15",11/03/99 05:39:00
7898040324438,DF,B,"46,6",11/03/99 05:39:09
4005900453259,DF,B,"14,72",11/03/99 05:39:22
7896009400148,DF,B,"51,24",11/03/99 05:39:30
7891010249946,DF,B,"50,56",11/03/99 05:39:39
7896094925120,DF,B,"8,35",11/03/99 05:39:47
7897129304583,DF,B,"129,81",11/03/99 05:39:56
7891142205582,DF,B,"66,23",11/03/99 05:40:12
7896094927278,DF,B,"130,31",11/03/99 05:40:21
7896094925397,DF,B,"48,28",11/03/99 05:40:29
3282770153477,DF,B,"48,06",11/03/99 05:40:37
7896015519636,DF,B,"18,1",11/03/99 05:40:46
300658048134,DF,B,"169,28",11/03/99 05:40:54
7896094208704,DF,B,"71,23",11/03/99 05:41:07
7898949409922,DF,B,"27,01",11/03/99 05:41:16
7896226108735,DF,B,"105,7",11/03/99 05:41:24
7896112403425,DF,B,"192,88",11/03/99 05:41:33
7896009498282,DF,B,"39,73",11/03/99 05:41:41
7898549758529,DF,B,"133,15",11/03/99 05:41:49
4987188568729,DF,B,"12,11",11/03/99 05:41:58
7898074618091,DF,B,"91,14",11/03/99 05:42:06
7898948648513,DF,B,"169,39",11/03/99 05:42:15
7896112402312,DF,B,"228,62",11/03/99 05:42:23
7896094917477,DF,B,"94,61",11/03/99 05:42:31
7891024026434,DF,B,"8,19",11/03/99 05:42:40
7898948648605,DF,B,"330,59",11/03/99 05:42:48
7897129304552,DF,B,"132,36",11/03/99 05:42:57
7891317015510,DF,B,"138,63",11/03/99 05:43:05
7891317019297,DF,B,"52,5",11/03/99 05:43:23
7898040326357,DF,B,"82,87",11/03/99 05:43:32
7908134200088,DF,B,"61,53",11/03/99 05:43:40
7891025111825,GO,B,"36,97",11/03/99 05:44:50
7891058016999,GO,B,"41,23",11/03/99 05:45:18
7896658027796,GO,B,"89,33",11/03/99 05:45:31
7891058020286,GO,B,"41,23",11/03/99 05:45:45
7891158105203,GO,B,"149,76",11/03/99 05:45:53
7898040325466,GO,B,"108,33",11/03/99 05:46:02
7899026478909,GO,B,"28,21",11/03/99 05:46:10
7891317192389,GO,B,"106,73",11/03/99 05:46:24
7891106910248,GO,B,"46,07",11/03/99 05:46:32
7891106912167,GO,B,"14,81",11/03/99 05:46:41
7896658025112,GO,B,"114,23",11/03/99 05:46:59
7891142205643,GO,B,"61,86",11/03/99 05:47:13
7891317007560,GO,B,"152,89",11/03/99 05:47:21
7891025112662,GO,B,"40,19",11/03/99 05:47:29
7897930777798,GO,B,"69,75",11/03/99 05:47:38
7899706195027,GO,B,"60,1",11/03/99 05:47:46
7896658028205,GO,B,"148,39",11/03/99 05:48:05
7891024179925,GO,B,"25,31",11/03/99 05:48:13
7891317009502,GO,B,"106,78",11/03/99 05:48:22
7896015592110,GO,B,"85,72",11/03/99 05:48:30
7891045031257,GO,B,"54,09",11/03/99 05:48:39
3282770153507,GO,B,"74,78",11/03/99 05:48:47
7891142205704,GO,B,"61,86",11/03/99 05:48:56
7500435171090,GO,B,"43,02",11/03/99 05:49:39
7908615000169,GO,B,"31,42",11/03/99 05:49:47
7891106907286,GO,B,"24,01",11/03/99 05:50:06
7898040321871,GO,B,"152,25",11/03/99 05:50:19
7899420508127,GO,B,"122,8",11/03/99 05:50:28
7891142204127,GO,B,"104,28",11/03/99 05:50:36
7891000109908,GO,B,"17,17",11/03/99 05:50:50
7891058022594,GO,B,"65,23",11/03/99 05:51:03
7899706159272,GO,B,"66,91",11/03/99 05:51:12
7896676434026,GO,B,"109,22",11/03/99 05:51:30
7891058022730,GO,B,"84,32",11/03/99 05:51:48
7896094921849,GO,B,"53,86",11/03/99 05:51:57
7908615000244,GO,B,"54,84",11/03/99 05:52:05
3282770153477,GO,B,"42,78",11/03/99 05:52:14
7896422544917,GO,B,"131,37",11/03/99 05:52:31
7896658026850,GO,B,"28,04",11/03/99 05:52:44
7896112437888,GO,B,"195,19",11/03/99 05:52:53
7891024033425,GO,B,"25,31",11/03/99 05:53:01
7899706159197,GO,B,"69,95",11/03/99 05:53:09
3282770153484,GO,B,"56,96",11/03/99 05:53:18
7897930777743,GO,B,"69,75",11/03/99 05:53:26
7898430190995,GO,B,"48,16",11/03/99 05:53:35
7891106908221,GO,B,"27,79",11/03/99 05:53:58
7899706155021,GO,B,"62,16",11/03/99 05:54:12
7795323001461,GO,B,"63,65",11/03/99 05:54:20
7891106913522,GO,B,"33,24",11/03/99 05:54:29
8429420197985,GO,B,"75,66",11/03/99 05:54:37
7898040324438,GO,B,"43,52",11/03/99 05:54:51
7896658000089,GO,B,"58,68",11/03/99 05:55:04
7896094927223,GO,B,"201,95",11/03/99 05:55:13
7894916514422,GO,B,"140,48",11/03/99 05:55:36
7896112403418,GO,B,"82,34",11/03/99 05:55:50
7891317019310,GO,B,"187,35",11/03/99 05:56:03
7891158100253,GO,B,"75,11",11/03/99 05:56:12
7896112402770,GO,B,"71,69",11/03/99 05:56:20
7898949409632,GO,B,"35,06",11/03/99 05:56:28
7898636192489,GO,B,"34,39",11/03/99 05:56:37
7891142204141,GO,B,"104,28",11/03/99 05:56:50
4005808850617,GO,B,"13,75",11/03/99 05:56:59
